Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"American National Standard Calibration and Usage of ""Dose Calibrator"" Ionization Chambers for the Assay of Radionuclides",,,ANSI N42.13-2004 (Reaffirmation of ANSI N42.13-1986),20170615,2004,,,1,13,The wide range of calibrator-type instruments currently being used primarily for radionuclide assay in nuclear medicine indicates the need for a standard for uniformity in measurement and test techniques. Such devices are composite systems consisting of an ionization chamber integrally coupled to appropriate electronic circuitry that converts the ionization current to a readout in units of activity. The principles of operation of the ionization chamber are well summarized in the NCRP Report No 58 [1] 1 and will not be repeated here. Wide activity range and stability are useful characteristics of ionization chambers in this application. The advantages of this type of system for radionuclide assay include ease of use and interpretation.,,Electronic:978-1-5044-4069-1,10.1109/IEEESTD.2004.7949161,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7949161,,ANSI Standards;Calibration;Current measurment;Instruments;Interconnected systems;Ionization chambers;Nuclear measurements;Nuclear medicine,,,,,,,,,,Dec. 2 2004,,IEEE,IEEE Standards
"American National Standard Calibration and Usage of ""Dose Calibrator"" Ionization Chambers for the Assay of Radionuclides",,,ANSI Std N42.13-1986,20021210,1986,,,1,13,"A technique for the quantification of the activity of identified radionuclides, using any of a variety of ionization chambers currently available for this purpose, is presented. Application of the standard is limited to instruments that incorporate well-type ionization chambers as detectors. The method provides measurements that are accurate to within plus or minus 10% and reproducible to within plus or minus 5%. The standard is also intended to ensure continuing performance of the apparatus within these specifications.",,,10.1109/IEEESTD.1986.81593,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=29092,Ionization chambers;Radioactive materials,Calibration;Dosimetry;Ionization chambers;Radiation monitoring,calibration;dosimetry;ionisation chambers;radiation monitoring,calibrator-type instruments;electronic circuitry;ionization chamber;measurement;nuclear medicine;radionuclide assay;standard;test techniques;uniformity,,0,,2,,,,April 28 1986,,IEEE,IEEE Standards
"American National Standard Definition, Specification, and Analysis of Manual, Automatic, and Supervisory Station Control and Data Acquisition",,,ANSI/IEEE C37.1-1979,20160325,1979,,,1,42,"This standard applies to the definition, specification, performance, analysis, and application of equipment in manual, partial automatic, automatic, and supervisory control and data acquisition systems used with electric substations and generating stations and with installations of power utilization and conversion apparatus. This standard is intended to provide a basis for the definition, specification, and analysis of equipment described above.",,,10.1109/IEEESTD.1979.7442042,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7442042,,ANSI Standards;Manuals;Power system control;SCADA systems;Supervisory control;Terminology,ANSI standards;IEEE standards;SCADA systems;power convertors;substations,ANSI/IEEE C37.1-1979;IEEE Standard;conversion apparatus;data acquisition;electric substations;generating stations;power utilization;supervisory station control,,,,,,,,Dec. 31 1979,,IEEE,IEEE Standards
"American National Standard Definitions and Requirements for High-Voltage Air Switches, Insulators, and Bus Supports",,,ANSI/IEEE Std C37.30-1971,20021210,1971,,,1,20,"<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/00578049.png"" border=""0"">",,,10.1109/IEEESTD.1971.81976,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=578049,,,,,,1,,25,,,,1971,,IEEE,IEEE Standards
"American National Standard Dictionary for Technologies of Electromagnetic Compatibility (EMC), Electromagnetic Pulse (EMP) and Electrostatic Discharge (ESD) (Dictionary of EMC/EMP/ESD Terms and Definitions)",,,ANSI C63.14-1998,20020806,1998,,,1,44,"Terms associated with electromagnetic compatibility (EMC), electromagnetic pulse (EMP), and electrostatic discharge (ESD) are defined. Quantities, units, multiplying factors, symbols, and abbreviations are covered.",,,10.1109/IEEESTD.1998.88571,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=729401,electromagnetic compatibility (EMC);electromagnetic pulse (EMP);electrostatic discharge (ESD);terms and definitions;terms and definitions.,ANSI standards,ANSI standards,ANSI;EMC;EMP;ESD;abbreviations;definitions;dictionary;electromagnetic compatibility;electromagnetic pulse;electrostatic discharge;multiplying factors;symbols;terms;units,,0,,20,,,,Dec. 3 1998,,IEEE,IEEE Standards
"American National Standard Dictionary for Technologies of Electromagnetic Compatibility (EMC), Electromagnetic Pulse (EMP), and Electrostatic Discharge (ESD) (Dictionary of EMC/EMP/ESD Terms and Definitions)",,,ANSI C63.14-1992,20020806,1992,,,1,,"Terms associated with electromagnetic compatibility (EMC), electromagnetic pulse (EMP), and electrostatic discharge (ESD) are defined. Quantities, units, multiplying factors, symbols, and abbreviations are covered.",,,10.1109/IEEESTD.1992.82138,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=585094,,Electromagnetic compatibility,electromagnetic compatibility,EMC;EMP;ESD;abbreviations;electromagnetic compatibility;electromagnetic pulse;electrostatic discharge;multiplying factors;symbols;units,,0,,15,,,,1992,,IEEE,IEEE Standards
"American National Standard General Requirements for Liquid-Immersed Distribution, Power, and Regulating Transformers",,,ANSI/IEEE C57.12.00-1980,20160331,1980,,,1,36,"This standard is intended as a basis for the establishment of performance, limited electrical and mechanical interchangeability, and safety requirements of equipment described; and for assistance in the proper selection of such equipment. This standard describes electrical, mechanical, and safety requirements of liquid-immersed distribution and power transformers, and autotransformers and regulating transformers; single and polyphase, with voltage 601 V or higher in the highest voltage winding. This standard applies to all liquid-immersed distribution, power, and regulating transformers except as indicated below: (1) Instrument transformers. (2) Step-voltage and induction voltage regulators. (3) Arc furnace transformers. (4) Rectifier transformers. (5) Specialty transformers. (6) Grounding transformers. (7) Mobile transformers. (8) Mine transformers. When this standard is used on a mandatory basis, the words shall and must indicates mandatory requirements; and the words should and may refer to matters which are recommended or permissive, but not mandatory.",,,10.1109/IEEESTD.1980.7445127,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7445127,,ANSI Standards;IEEE Standards;Insulation;Liquids;Power transformers;Regulators;Transformers,autotransformers;instrument transformers;safety;transformer windings,ANSI=IEEE C57.12.00-1980;american national standard;arc furnace transformers;autotransformers;grounding transformers;induction voltage regulators;instrument transformers;liquid-immersed distribution transformers;mine transformers;mobile transformers;power transformers;rectifier transformers;regulating transformers;safety requirements;specialty transformers;step-voltage regulators;voltage 601 V;voltage winding,,,,,,,,Nov. 28 1980,,IEEE,IEEE Standards
"American National Standard High-Voltage Air Disconnect Switches Interrupter Switches, Fault Initiating Switches, Grounding Switches, Bus Supports and Accessories Control Voltage Ranges-Schedules of Preferred Ratings, Construction Guidelines and Specifications",,,ANSI C37.32-1996,20050207,1996,,,i,36,"<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01389204.png"" border=""0"">",,,10.1109/IEEESTD.1996.95627,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1389204,,,,,,0,,13,,,,1996,,IEEE,IEEE Standards
"American National Standard Inspection, Test, Construction, and Performance Requirements for Direct Reading Electrostatic/Electroscope Type Dosimeters",,,ANSI N322-1997,20020806,1997,,,i,,"Inspection, test, construction and performance requirements for direct reading electrostatic/electroscope type dosimeters designed to measure the personal dose equivalent or ambient exposure delivered by external sources of ionizing radiation (X-rays or gamma-rays) are given.",,,10.1109/IEEESTD.1997.89326,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=756445,,ANSI standards,ANSI standards,ambient exposure;construction requirements;direct reading electrostatic/electroscope type dosimeters;environmental monitoring;external ionizing radiation sources;inspection requirements;performance requirements;personal dose equivalent;personnel dosimeter;test requirements,,1,,10,,,,1997,,IEEE,IEEE Standards
"American National Standard Low-Voltage Power Circuit Breakers and AC Power Circuit Protectors- Preferred Ratings, Related Requirements, and Application Recommendations",,,ANSI C37.16-2000,20050207,2000,,,0_1,21,"<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01389255.png"" border=""0"">",,,10.1109/IEEESTD.2000.95624,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1389255,,,,,,2,,,,,,2000,,IEEE,IEEE Standards
"American National Standard Radiation Protection Instrumentation Test and Calibration, Portable Survey Instruments",,,ANSI N323A-1997,20020806,1997,,,1,24,Specific requirements are established for portable radiation protection instruments usedfor detection and measurement of levels of ionizing radiation fields or levels of radioactive surfacecontamination. An errata sheet for the standard is available at http://standards.ieee.org/reading/ieee/updates/errata/N323A-1997_errata.pdf,,,10.1109/IEEESTD.1997.85815,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=649899,portable survey instruments;radiation measurements;radiation protection instruments;radiation survey,Radioactive pollution,radiation protection,American National Standard radiation protection instrumentation;instrumentation calibration;instrumentation testing;ionizing radiation fields levels measurements;portable radiation protection instruments;portable survey instruments;radioactive surface contamination levels,,3,,25,,,,Dec. 31 1997,,IEEE,IEEE Standards
"American National Standard Recommended Practice for an On-Site, Ad Hoc Test Method for Estimating Electromagnetic Immunity of Medical Devices to Radiated Radio-Frequency (RF) Emissions from RF Transmitters - Redline",,,ANSI C63.18-2014 (Revision of ANSI C63.18-1997) - Redline,20140903,2014,,,1,126,"A guide to evaluating electromagnetic immunity of medical devices against radiatedradio-frequency (RF) emissions from common RF transmitters is provided in this recommendedpractice (e.g., two-way radios; walkie-talkies; mobile phones; wireless-enabled tablets, e-readers,laptop computers, and similar devices; RFID readers; networked mp3 players; two-way pagers;and wireless personal digital assistants [PDAs]). A comprehensive test or a guarantee is notprovided by this protocol but, instead, a basic evaluation is given that can help identify medicaldevices that might be particularly vulnerable to interference from common RF transmitters.Existing or newly purchased medical devices can be evaluated by this ad hoc test protocol or theprotocol can be implemented for prepurchase evaluation. This recommended practice applies tomedical devices used in health-care facilities but can also be adapted to medical devices in homehealth-care or mobile health-care settings. It does not apply to implantable medical devices (e.g.,pacemakers and defibrillators), transport environments such as ambulances and helicopters, orRF transmitters rated at more than 8 W of output power. Testing with transmitters greater than8 W in health-care facilities is not recommended because of possible adverse effects on critical care medical devices that are in use in nearby areas of the facility. Finally, in-band RFinterference where the fundamental frequency of an RF transmitter overlaps with frequenciesused by a hospital wireless network or monitoring or other medical device wireless links is notaddressed by this recommended practice.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6889133,ANSI C63.18;American National Standard;EMC;EMI;ad hoc testing;electromagnetic compatibility;electromagnetic immunity;electromagnetic interference;health-care facilities;in situ testing;medical devices;on-site testing;portable radio frequency transmitters;test method;test procedure;wireless,ANSI standards;Ad hoc networks;Electromagnetic compatibility;In situ;Medical devices;Radio frequency;Testing;Transmitters,,,,0,,,,,,June 20 2014,,IEEE,IEEE Standards
"American National Standard Recommended Practice for an On-Site, Ad Hoc Test Method for Estimating Electromagnetic Immunity of Medical Devices to Radiated Radio-Frequency (RF) Emissions from RF Transmitters",,,ANSI C63.18-2014 (Revision of ANSI C63.18-1997),20140619,2014,,,1,64,"A guide to evaluating electromagnetic immunity of medical devices against radiated radio-frequency (RF) emissions from common RF transmitters is provided in this recommended practice (e.g., two-way radios; walkie-talkies; mobile phones; wireless-enabled tablets, e-readers, laptop computers, and similar devices; RFID readers; networked mp3 players; two-way pagers; and wireless personal digital assistants [PDAs]). A comprehensive test or a guarantee is not provided by this protocol but, instead, a basic evaluation is given that can help identify medical devices that might be particularly vulnerable to interference from common RF transmitters. Existing or newly purchased medical devices can be evaluated by this ad hoc test protocol or the protocol can be implemented for prepurchase evaluation. This recommended practice applies to medical devices used in health-care facilities but can also be adapted to medical devices in home health-care or mobile health-care settings. It does not apply to implantable medical devices (e.g., pacemakers and defibrillators), transport environments such as ambulances and helicopters, or RF transmitters rated at more than 8 W of output power. Testing with transmitters greater than 8 W in health-care facilities is not recommended because of possible adverse effects on criticalcare medical devices that are in use in nearby areas of the facility. Finally, in-band RF interference where the fundamental frequency of an RF transmitter overlaps with frequencies used by a hospital wireless network or monitoring or other medical device wireless links is not addressed by this recommended practice.",,,10.1109/IEEESTD.2014.6840284,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6840284,ANSI C63.18;American National Standard;EMC;EMI;ad hoc testing;electromagnetic compatibility;electromagnetic immunity;electromagnetic interference;health-care facilities;in situ testing;medical devices;on-site testing;portable radio frequency transmitters;test method;test procedure;wireless,"ANSI standards;Electromagnetic compatibility;Electromagnetic interference,;Medical devices;Mobile communication;Radio frequency;Safety;Testing;Transmitters",ANSI standards;biomedical equipment;electromagnetic compatibility;immunity testing,ANSI C63.18-1997 revision;ANSI C63.18-2014;American National Standard;ad hoc test method;ad hoc test protocol;common RF transmitter;electromagnetic immunity estimating;health care facility;home health care;in-band RF interference;medical device;mobile health care;on-site recommended practice;prepurchase evaluation;radiated radiofrequency emission,,0,,,,,,June 20 2014,,IEEE,IEEE Standards
"American National Standard Recommended Practice for an On-site, Ad-Hoc Test Method for Estimating Radiated Electromagnetic Immunity of Medical Devices to Specific Radio Frequency Transmitters",,,ANSI C63.18-1997,20020806,1997,,,1,32,"Guidance is provided for health-care organizations in evaluating the radiated RF electromagnetic immunity of their existing inventories of medical devices to their existing inventories of RF transmitters, as well as to RF transmitters that are commonly available. This recommended practice can also be used for newly purchased medical devices and RF transmitters, as well as for pre-purchase evaluation. It applies to medical devices used in health-care facilities and to portable transmitters with a rated power output of 8 W or less. It does not apply to implantable medical devices, transport environments such as ambulances and helicopters, or to RF transmitters rated at more than 8 W.",,,10.1109/IEEESTD.1997.85519,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=643516,EMC;EMI;ad hoc testing;electromagnetic compatibility;electromagnetic immunity;electromagnetic interference;health-care facilities;in-situ testing;medical devices;on-site testing;portable RF transmitters;test method;test procedure,Electromagnetic radiative interference,radiofrequency interference,8 W;ANSI recommended practice;American National Standard;RF transmitters;ad hoc test method;health-care facilities;health-care organizations;medical devices;on-site test method;portable transmitters;radiated RF electromagnetic immunity;rated power output,,0,,6,,,,Dec. 31 1997,,IEEE,IEEE Standards
"American National Standard Requirements for Pad-Mounted, Campartmental-Type, Self-Cooled, Single-Phase Distribution Transformers With High-Voltage Bushings: High Voltage (34 500 GrdY/19 920 V and Below) and Low Voltage (240/120 V, 167 kVA and Smaller)",,,ANSI C57.12.21-1992,20050207,1992,,,1,18,"This standard covers certain electrical, dimensional, and mechanical characteristics and takesinto consideration certain safety features of single-phase, 60 Hz, mineral-oil-immersed, self-cooled, padmounted, compartmental-type distribution transformers with high-voltage bushings. These transformers are rated 167 kVA and smaller, with high-voltages of 34500 GRD/19900 volts and below for operation between one phase and grounded neutral, and low-voltage of 240/120 volts. These transformers are generally used for step-down purposes from an underground primary cable supply.NOTE--Refer to latest federal regulations concerning polychlorinated biphenyl (PCB) contaminations in transformers.",,Electronic:978-0-7381-3625-7,10.1109/IEEESTD.1992.95634,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1389303,IEEE C57.12;IEEE C57.12.21,Insulation;Oil insulation;Power transformers;Standards;Transformers,,,,0,,7,,,,Dec. 31 1992,,IEEE,IEEE Standards
"American National Standard Requirements for Sealed Dry-Type Power Transformers, 501 kVA and Larger, Three-Phase, with High-Voltage 601 to 34 500 Volts, Low-Voltage 208Y/120 to 4160 Volts",,,ANSI C57.12.52-1981,20050207,1981,,,1,26,"<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01389295.png"" border=""0"">",,Electronic:978-0-7381-3648-6,10.1109/IEEESTD.1981.95639,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1389295,,,,,,1,,,,,,May 21 1981,,IEEE,IEEE Standards
"American National Standard Requirements for Ventilated Dry-Type Distribution Transformers, 1 to 500 kVA, Single-Phase, and 15 to 500 kVA, Three-Phase, With High-Voltage 601 to 34 500 Volts, Low-Voltage 120 to 600 Volts",,,ANSI C57.12.50-1981 (R1998),20050207,1981,,,i,20,"<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01389293.png"" border=""0"">",,,10.1109/IEEESTD.1981.95638,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1389293,,ANSI Standards;Power transformers;Ventilation,,,,0,,,,,,1981,,IEEE,IEEE Standards
"American National Standard Requirements for Ventilated Dry-Type Power Transformers, 501 kVA and Larger, Three-Phase, with High-Voltage 601 to 34 500 Volts, Low-Voltage 208Y/120 to 4160 Volts",,,IEEE Std C57.12.51-1981,20070910,1981,,,1,24,"This new dry-type transformer standard describes ventilated dry-type transformers with self-cooled kilovolt-ampere ratings 501 to 7500 and high voltages 601 to 34 500 volts; forced-air-cooled ratings for certain sizes are listed in Part II. (American National Standards Committee on Specialty Transformers, C89, has responsibility for transformers with high voltages 600 volts and below.) This standard is part of a new series of dry-type standards that also includes American National Standard General Requirements for Dry-Type Distribution and Power Transformers, ANSI/IEEE C57.12.01-1979; American National Standard Test Code for Dry-Type Distribution and Power Transformers, ANSI/ IEE C57.12.91-1979; American National Standard Requirements for Ventilated Dry-Type Distribution Transformers, 1 to 500 kVA, Single-Phase, and 15 to 500 kVA, Three-Phase, with High-Voltage 601 to 34 500 Volts, Low-Voltage 120 to 600 Volts, ANSI C57.12.50-1981; and American National Standard Requirements for Sealed Dry-Type Power Transformers, 501 kVA and Larger, Three-Phase, with High-Voltage 601 to 34 500 Volts, Low-Voltage 208Y/120 to 4160 Volts, ANSI C57.12.52-1981",,Electronic:978-1-5044-3974-9,10.1109/IEEESTD.1981.339595,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4140863,,,,,,0,,13,,,,1981,,IEEE,IEEE Standards
