http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&refinements%3D4294965216%2C4226526127%26queryText%3Dstandards,6/29/17 15:42,,,,,,,,,,,,,,,text,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Category
IEC/IEEE International Standard Power transformers --Part 57-1202: Liquid immersed phase-shifting transformers,,,IEC/IEEE 60076-57-1202:2017 Edition 1.0 2017-05,20170519,2017,,,1,98,This part of IEC 60076 covers the requirements for phase-shifting transformers of all types. The scope excludes transformers with an unregulated phase shift. This document is limited to matters particular to phase-shifting transformers and does not include matters relating to general requirements for power transformers covered in existing standards in the IEC 60076 series or IEEE Std C57.12.00TM and IEEE Std C57.12.10TM.,,Electronic:978-1-5044-2015-0,10.1109/IEEESTD.2017.7932247,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7932247,,IEC Standards;IEEE Standards;Immersion cooling;Phase shifters;Power transformers,IEC standards;IEEE standards;power transformers,IEC 60076-57-1202;IEEE 60076-57-1202;liquid immersed phase-shifting transformers;power transformers;unregulated phase shift,,,,,,,,May 23 2017,,IEEE,IEEE Standards,
IEEE Standard for Universal Verification Methodology Language Reference Manual,,,IEEE Std 1800.2-2017,20170519,2017,,,1,472,"The Universal Verification Methodology (UVM) that can improve interoperability, reduce the cost of using intellectual property (IP) for new projects or electronic design automation (EDA) tools, and make it easier to reuse verification components is provided. Overall, using this standard will lower verification costs and improve design quality throughout the industry. The primary audiences for this standard are the implementors of the UVM base class library, the implementors of tools supporting the UVM base class library, and the users of the UVM base class library.",,Electronic:978-1-5044-4000-4,10.1109/IEEESTD.2017.7932212,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7932212,IEEE 1800.2(TM);agent;blocking;callback;class;component;consumer;driver;event;export;factory;function;generator;member;method;monitor;non-blocking;phase;port;register;resource;sequence;sequencer;transaction level modeling;verification methodology,Formal verifcation;Generators;IEEE Standards;Power generation;Sequential analysis,IEEE standards;formal verification;industrial property;open systems,EDA tools;IEEE Std 1800.2-2017;IP;UVM base class library;electronic design automation;intellectual property;interoperability;universal verification methodology,,,,,,,,May 26 2017,,IEEE,IEEE Standards,
IEEE Standard Specifications for High-Voltage (>1000 V) Fuses and Accessories,,,IEEE Std C37.42-2016,20170519,2017,,,1,59,"Specifications for high voltage (above 1000 volts) Class A and Class B expulsion and current-limiting fuses. This includes: a) Expulsion type Class A [distribution class] fuses, fuse cutouts, fuse disconnecting switches, their associated fuse links or refill units, disconnecting cutouts, and accessories for these devices with rated voltages from 1 through 38 kV. b) Expulsion type Class B [power class] fuses, fuse disconnecting switches, their associated fuse links or refill units, disconnecting cutouts, and accessories for these devices with rated voltages from 1 through 170 kV. c) Class A and Class B current-limiting fuses and accessories for these devices with rated voltages 1 through 38 kV. d) Distribution and power class expulsion, current-limiting, and combination-type external capacitor fuses and accessories, with rated voltages from 1 kV through 38 kV, for protecting shunt capacitors complying with IEEE Std 18 and NEMA CP 1. e) Any of the above devices used in fuse enclosure packages. f) All of these devices are intended for use on alternating current distribution systems.",,Electronic:978-1-5044-2359-5,10.1109/IEEESTD.2017.7932250,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7932250,Class A fuses;Class B fuses;current-limiting fuses;distribution and power class current-limiting fuses;distribution class fuses;distribution fuse cutouts;expulsion fuses;fuse;fuse disconnecting switches;fuse enclosure packages;fuse hooks;fuse links;fuse49 applications;fuses for the protection of shunt capacitors;high-voltage fuses;power class fuses;supports and mountings;tongs,Current limiters;Fuses;High-voltage techniques;IEEE Standards;Power distribution;Shunt capacitors;Voltage control,IEEE standards;electric fuses,IEEE Std C37.42-2016;alternating current distribution systems;associated fuse links;combination-type external capacitor fuses;current-limiting fuses;disconnecting cutouts;expulsion type class A fuses;fuse cutouts;fuse disconnecting switches;fuse enclosure packages;high-voltage accessories;high-voltage fuses;refill units,,,,,,,,May 26 2017,,IEEE,IEEE Standards,
IEEE Standard for Control Switchboards,,,IEEE Std C37.21-2017 (Revision of IEEE Std C37.21-2005),20170519,2017,,,1,34,"Ratings, construction, and testing of dead-front control switchboards containing, but not limited to, devices such as switches, control devices, instrumentation, metering, monitoring, alarms, annunciators, protective and auxiliary relays, and regulating devices and accessories are covered in this standard. It includes, but is not specifically limited to, switchboards for the control and protection of apparatus used for or associated with power generation, conversion, transmission, and distribution. Types of switchboards may include control, vertical, dead-front, enclosed, dual, or duplex switchboards. Other construction types include control desks, consoles, benchboards, dual or duplex benchboards, fixed rack, cabinet, and swing rack cabinets. It does not apply to industrial controls, communication equipment, switchboards for use on board ships, or Class 1E switchboards for use in nuclear generating stations.",,Electronic:978-1-5044-3993-0,10.1109/IEEESTD.2017.7932209,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7932209,IEEE C37.21(TM);benchboard;console;control desk;control switchboard;dead-front switchboard;dual benchboard;duplex benchboard;enclosed switchboard;fixed rack cabinet;swing rack cabinet;vertical switchboard,IEEE Standards;Instrumentation;Monitoring;Switching systems;Testing,,,,,,,,,,May 23 2017,,IEEE,IEEE Standards,
IEEE Standard for Local and metropolitan area networks--Media Access Control (MAC) Security - Amendment 3:Ethernet Data Encryption devices,,,IEEE Std 802.1AEcg-2017 (Amendment to IEEE Std 802.1AE-2006 as amended by IEEE Std 802.1AEbn-2011 and IEEE Std 802.1AEbw-2013),20170519,2017,,,1,143,"Ethernet Data Encryption devices (EDEs) are specified in this amendment. An EDE is a two-port bridge that uses MACsec to provide secure connectivity for attached customer bridges, or for attached provider bridges. EDEs may allow the customer (or provider) bridges to continue to use a VLAN Identifier (VID) in transmitted frames to select (as already specified in IEEE Std 802.1Q(TM)) between provider network or provider backbone network services.",,Electronic:978-1-5044-3725-7,10.1109/IEEESTD.2017.7932238,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7932238,EDE;Ethernet Data Encryption device;IEEE 802.1AE;IEEE 802.1AEcg;LANs;MAC Bridges;MAC Service;MAC security;MANs;amendment;authorized port;confidentiality;data origin authenticity;integrity;local area networks;metropolitan area networks;port-based network access control;secure association;security;transparent bridging,Access control;Authentication;Ethernet networks;IEEE Standards;Local area networks;Media Access Protocol;Metropolitan area networks,,,,,,,,,,May 19 2017,,IEEE,IEEE Standards,security
"IEEE Standard for Environmental Assessment of Personal Computer Products, Including Notebook Personal Computers, Desktop Personal Computers, and Personal Computer Displays",,,IEEE Std 1680.1-2009,20170515,2010,,,1,43,"Guidance and implementation procedures for this and other standards in the IEEE 1680(TM) family of standards are provided. A clear and consistent set of environmental performance criteria for the design of personal computer products including notebook computers, desktop computers, and computer displays is provided, thereby providing an opportunity to secure market recognition for efforts to reduce the environmental impact of electronic products. This standard is intended to provide a tool for government, institutional, and corporate purchasers. Product manufacturers may also use this tool to earn recognition in the consumer market, recognizing that certain criteria may not be applicable to all types of purchasers. This standard shall be updated and revised on a periodic basis to continue to set a higher performance standard for leadership products.",,Electronic:978-0-7381-6125-9,10.1109/IEEESTD.2010.7927761,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7927761,1680.1-2009;computer;computer display;electronic product;electronic product design;environment;environmental leadership;environmental performance;notebook computer;personal computer,Computer displays;Consumer electronics;IEEE Standards;Microcomputers;Tools,IEEE standards;environmental factors;microcomputers,IEEE Std 1680.1-2009;IEEE standard;desktop personal computers;electronic products;environmental assessment;environmental impact reduction;notebook personal computers;personal computer displays;personal computer products,,,,,,,,March 5 2010,,IEEE,IEEE Standards,design
American National Standard for Evaluation of Wireless Coexistence,,,ANSI C63.27-2017,20170515,2017,,,1,77,An evaluation process and supporting test methods are provided in this standard to quantify the ability of a wireless device to coexist with other wireless services in its intended radio frequency (RF) environments.,,Electronic:978-1-5044-3796-7,10.1109/IEEESTD.2017.7927764,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7927764,ANSI C63.27;EMI;RF;RFI;coexistence;electromagnetic environments;immunity;interference;reliability;susceptibility,ANSI;Consumer electronics;IEEE Standards;Interference;Trademarks;Wireless communication,,,,,,,,,,May 11 2017,,IEEE,IEEE Standards,
IEEE Standard for Risk-Informed Categorization and Treatment of Electrical and Electronic Equipment at Nuclear Power Generating Stations and Other Nuclear Facilities,,,IEEE Std 1819-2016,20170511,2017,,,1,37,This standard addresses the following: Risk-informed methods have been established to appropriately categorize components as either safety significant or low safety significant. Application of these methods has been shown to be safety-beneficial for existing nuclear power generating stations and nuclear facilities. No standardized approach currently exists for the detailed application of these methods to electrical and electronic components. The results of the categorization process are not easily integrated with traditional Class 1E/non-Class 1E classifications or the resulting treatment for these components. This standard provides methods to categorize electrical and electronic components using a risk-informed process and identifies how the categorization results relate to Class 1E/non-Class 1E classifications. This standard also provides a standardized and accepted method for alternate treatment of categorized components commensurate with their safety significance.,,Electronic:978-1-5044-2330-4,10.1109/IEEESTD.2017.7926487,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7926487,categorization;risk-informed;safety significance;treatment,Classification;Electrical equipment;Electronic components;IEEE Standards;Risk management;Safety,IEEE standards;nuclear criticality safety;nuclear power stations;risk analysis,IEEE Std 1819-2016;IEEE standard;class 1E-nonclass 1E classifications;electrical equipment treatment;electronic equipment treatment;nuclear facilities;nuclear power generating stations;risk-informed categorization,,,,,,,,May 12 2017,,IEEE,IEEE Standards,
IEEE Standard Design Criteria of Complex Virtual Instruments for Ocean Observation,,,IEEE Std 2402-2017,20170511,2017,,,1,58,"The framework of building a distributed ocean observing software system based on complex virtual instruments (CVIs), which are used for processing and displaying the collected data from ocean instruments and the related metadata, is defi ned in this standard. This framework provides the guidelines for the CVI-based development process, in which CVI structure design covers management of observed data and metadata, virtual instrument engine based on geospatial information, and service interfaces for CVI interactions. CVI mapping schemes describe the correspondence from observed objects to CVIs. CVI relations defi ne the relationships between CVIs and describe the methods of extending and compositing multiple CVIs.",,Electronic:978-1-5044-3744-8,10.1109/IEEESTD.2017.7926464,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7926464,CVI (complex virtual instrument);IEEE 2402(TM);ocean observation;software development,Distributed databases;Geologic measurements;IEEE Standards;Metadata;Oceans;Software development;Software systems;Virtual environments,data acquisition;data analysis;geophysics computing;meta data;oceanographic equipment;virtual instrumentation,CVI mapping schemes;CVI-based development process;complex virtual instruments;geospatial information;ocean instruments;ocean observing software system;service interfaces;virtual instrument engine,,,,,,,,May 15 2017,,IEEE,IEEE Standards,software
IEEE Standard for Camera Phone Image Quality,,,IEEE Std 1858-2016 (Incorporating IEEE Std 1858-2016/Cor 1-2017),20170508,2017,,,1,146,"Quantifying the performance of camera-equipped mobile devices is covered in this standard, with an emphasis on metrics and procedures appropriate to the types of sensors, lenses, and signal processing routines present on such devices. It is not intended as a general image quality standard for photographs produced by high-end dedicated cameras, e.g., DSLRs. Metrics include spatial frequency response, color uniformity, chroma level, lateral chromatic displacement, local geometric distortion, texture blur, and visual noise.",,Electronic:978-1-5044-2388-5,10.1109/IEEESTD.2017.7921676,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7921676,IEEE 1858(TM);camera;cell phone;image quality;mobile;photography;visual quality,Cameras;Cellular phones;IEEE Standards;Image quality;Mobile communication;Photography;Visualization,,,,,,,,,,May 5 2017,,IEEE,IEEE Standards,
American National Standard for Electromagnetic Compatibility--Radiated Emission Measurements in Electromagnetic Interference (EMI) Control--Calibration and Qualification of Antennas (9 kHz to 40 GHz),,,ANSI C63.5-2017 (Revision of ANSI C63.5-2005),20170505,2017,,,1,114,"Methods for determining antenna factors of antennas used for radiated emission measurements in electromagnetic interference (EMI) control from 9 kHz to 40 GHz are provided. Antennas included are linearly polarized antennas such as loops, rods (monopoles), tuned dipoles, biconical dipoles, log-periodic dipole arrays, biconical and log-periodic dipole array hybrids, broadband horns, etc., that are used in measurements prescribed by ANSI C63.4 and ANSI C63.10. The antenna calibration methods include standard site method (i.e., three-antenna method), reference antenna method, equivalent capacitance substitution method, standard transmit loop method, standard antenna method, and standard field method.",,Electronic:978-1-5044-3576-5,10.1109/IEEESTD.2017.7920447,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920447,ANSI C63.5;antenna factors;equivalent capacitance substitution;linearly polarized antennas;near-free space;reference antenna method;standard antenna method;standard site method;standard transmit loop method,ANSI Standards;Antenna measurements;Antenna radiation patterns;Calibration;Dipole antennas;Electromagnetic compatibility;Electromagnetic interference;Radiation monitoring;Voltage measurement,,,,,,,,,,May 8 2017,,IEEE,IEEE Standards,
IEEE Standard for Information technology--Telecommunications and information exchange between systems - Local and metropolitan area networks--Specific requirements - Part 11: Wireless LAN Medium Access Control (MAC) and Physical Layer (PHY) Specifications Amendment 2: Sub 1 GHz License Exempt Operation,,,"IEEE Std 802.11ah-2016 (Amendment to IEEE Std 802.11-2016, as amended by IEEE Std 802.11ai-2016)",20170505,2017,,,1,594,"Modifications to both the IEEE 802.11(TM) physical layer (PHY) and the medium access control (MAC) sublayer to enable operation of license-exempt IEEE 802.11 wireless networks in frequency bands below 1 GHz, excluding the television (TV) White Space bands, with a transmission range up to 1 km and a minimum data rate of at least 100 Kb/s are defined in this amendment.",,Electronic:978-1-5044-3911-4,10.1109/IEEESTD.2017.7920364,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920364,IEEE 802.11ah;MAC;OFDM;PHY;WLAN;long transmission range;low power consumption;medium access control;narrower bandwidth;orthogonal frequency division multiplexing;physical layer;sub 1 GHz;wireless local area network,IEEE Standards;Licenses;Media Access Protocol;OFDM;Physical layer;Wireless LAN,access control;metropolitan area networks;radio spectrum management;wireless LAN,IEEE 802.11 physical layer;IEEE 802.11 wireless networks;IEEE Std. 802.11ah-2016;IEEE Std. 802.11ai-2016;IEEE standard;MAC sublayer;TV white space bands;information exchange;information technology;local area networks;medium access control;metropolitan area networks;television white space bands;wireless LAN,,,,,,,,April 30 2017,,IEEE,IEEE Standards,wireless
IEEE Standard for Local and metropolitan area networks--Part 21: Media Independent Services Framework,,,"IEEE Std 802.21-2017 (Revision of IEEE Std 802.21-2008 as amended by IEEE Std 802.21a-2012, IEEE Std 802.21b-2012, IEEE Std 802.21c-2014, and IEEE Std 802.21d-2015)",20170504,2017,,,1,314,"An extensible IEEE 802(R) media access independent services framework (i.e., function and protocol) is defined that enables the optimization of services including handover and other services when performed between heterogeneous IEEE 802 networks. These services are facilitated by this standard when networking between IEEE 802 networks and cellular networks.",,Electronic:978-1-5044-3806-3,10.1109/IEEESTD.2017.7919341,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7919341,IEEE 802.21(TM);broadcast;downlink only;group;group management;group security;management;media independent handover;media independent service;mobile node;mobility;multicast;point of attachment;point of service;proactive authentication;seamless;security protection;service access authentication,Authentication;Broadcasting;Handover;IEEE Standards;Local area networks;Metropolitan area networks;Multicast communication;Network security,,,,,,,,,,April 28 2017,,IEEE,IEEE Standards,security
"USA Standard General Requirements for Distribution, Power and Regulating Transformers, and Shunt Reactors",,,USAS C57.12.00-1968 (Revision of C57.12.00-1965 & C57.12.00a-1966),20170502,1968,,,1,33,"This standard was revised and greatly expanded in 1948, 1949, and 1956. The 1956 edition was comprised of a revision and editorial consolidation of the preceding standards on distribution, power , and regulating transformers, namely American Standard Requirements for Distribution, Power , and Regulating Transformers, and Reactors Other Than Current-Limiting Reactors, C57.12-1949, American Standard Test Code for Distribution , Power, and Regulating Transformers , C57.22-1948, and American Standard Requirements for Transformers-67,000 Volts and Below; 501 Through 10,000 kva, 3 Phase ; 501 Through 5,000 kva, 1 Phase, C57.12a-1954. In addition, in order to eliminate cross-references wherever possible, the consolidation contained excerpts from other standards of the C57 family",,Electronic:978-1-5044-4013-4,10.1109/IEEESTD.1968.7917408,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7917408,,Current limiters;IEEE Standards;Inductors;Power distribution;Power transformers;Reactors,,,,,,,,,,March 22 1968,,IEEE,IEEE Standards,
